Sheet: Polycom MAC address
Extension,MAC,
1000,0004F262D1B3,
1001,0004F26363E8,
1002,0004F26361BE,
1003,0004F2636311,
1004,0004F24BD8E2,
1005,0004F262A3BE,
1006,0004F24B8C97,
1007,0004F26287E7,
1008,0004F24BD83E,
1009,0004F2628E6A,
1010,0004F262D1B2,
1011,0004F264F486,
1012,0004F262A39B,
1013,0004F2636019,
1014,0004F2635EE6,
1015,0004F2635FDF,
1016,0004F24BD84E,
1017,0004F2635ECF,
1018,0004F262C765,
1019,0004F2628FA6,
1020,0004F262CDB3,
1021,0004F26483E6,
1022,0004F2636011,
1023,0004F2636008,
1024,0004F262A3AC,
1025,0004F262C80B,
1026,0004F262876D,
1027,0004F24BD30B,
1028,0004F26483FD,
1029,0004F26488FF,
1030,0004F2648407,
1031,0004F2629AB0,
1032,0004F263B4FA,
1033,0004F23B9A7F,
1034,0004F2629B04,
1035,0004F264876C,
1036,0004F26498C6,
1037,0004F23BA003,
1038,0004F2635E79,
1039,0004F263600C,
1040,0004F26362A4,
1041,0004F2635EC7,
1042,0004F2648755,
1043,0004F262A3C4,
1044,0004F262CD66,
1045,0004F262CC15,
1046,0004F262D102,
1047,0004F264EFCD,
1048,0004F23EA828,
1049,0004F264876A,
1050,0004F263619D,
1051,0004F2340D5A,
1052,0004F2648A6B,
1053,0004F264F509,
1054,0004F262C81D,
1055,0004F264F4DA,
1056,0004F2636309,
1057,0004F23BA9C6,
1058,0004F264F475,
1059,0004F264F4B8,
1060,0004F23B9D88,
1061,0004F262D003,
1062,0004F262D145,
1063,0004F2649264,
1064,0004F23B9FAB,
1065,0004F2636009,
1066,0004F23BA3E8,
1067,0004F26363F9,
1068,0004F234C140,
1069,0004F262CF94,
1070,0004F262CD46,
1071,0004F23BA7B0,
1072,0004F262C891,
1073,0004F23BAA6C,
1074,0004F262C83C,
1075,0004F262CBFA,
1076,0004F26361E0,
1077,0004F264F49B,
1078,0004F264F49C,
1079,0004F2340FE9,
1080,0004F262C837,
1081,0004F262C815,
1082,0004F234C34D,
1083,0004F23BA96A,
1084,0004F23BA115,
1085,0004F23BA10E,
1086,0004F26297E0,
1087,0004F23BA7B5,
1088,0004F2341FB4,
1089,0004F262C6DD,
1090,0004F26363C6,
1091,0004F23B9C29,
1092,0004F23B9C31,
1093,0004F2341DEC,
1094,0004F23BA67C,
1095,0004F23412E9,
1096,0004F263AEC6,
1097,0004F26297BC,
1098,0004F262999B,
1099,0004F262D274,
1100,0004F2341CEF,
1101,0004F262995D,
1102,0004F262C6D2,
1103,0004F2341FFA,
1104,0004F234218B,
1105,0004F23BA820,
1106,0004F2648A7E,
1107,0004F262C6D4,
1108,0004F23BA2C0,
1109,0004F262C6E7,
1110,0004F24BD895,
1111,0004F23BA5C7,
1112,0004F23412DF,
1113,0004F23B9E8A,
1114,0004F26488DD,
1115,0004F23BA980,
1116,0004F26361BC,
1117,0004F264F48A,
1118,0004F264886D,
1119,0004F2629997,
1120,0004F23BA945,
1121,0004F23BAB0C,
1122,0004F23B9AE7,
1123,0004F23BAB29,
1124,0004F23BA6E7,
1125,0004F262C6CD,
1126,0004F234C13E,
1127,0004F2629965,
1128,0004F264F48F,
1129,0004F2648BC7,
1130,0004F23BA3A6,
1131,0004F262C825,
1132,0004F2629990,
1133,0004F264909B,
1134,0004F262C76E,
1135,0004F2648969,
1136,0004F2648951,
1137,0004F262C809,
1138,0004F264FF63,
1139,0004F2629992,
1140,0004F262C836,
1141,0004F2628BBB,
1142,0004F23BA44D,
1143,0004F262C6DA,
1144,0004F263AF9C,
1145,0004F264897F,
1146,0004F2636205,
1147,0004F2340051,
1148,0004F2629964,
1149,0004F262C070,
1150,0004F264F4A5,
1151,0004F262984A,
1152,0004F262C6D1,
1153,0004F26483F8,
1154,0004F262C844,
1155,0004F24BD53E,
1156,0004F262C6D7,
1157,0004F262C6EB,
1158,0004F262C6CF,
1159,0004F262CC0A,
1160,0004F26363EE,
1161,0004F262C6CE,
1162,0004F2648A45,
1163,0004F26488CF,
1164,0004F264F4A4,
1165,0004F2340CF8,
1166,0004F2648A7C,
1167,0004F23BABB2,
1168,0004F264886A,
1169,0004F2629969,
1170,0004F264F4A0,
1171,0004F23B9C91,
1172,0004F2635ED9,
1173,0004F2635ED2,
1174,0004F2340C22,
1175,0004F263601B,
1176,0004F23BA8C7,
1177,0004F2636215,
1178,0004F2648A6F,
1179,0004F2648864,
1180,0004F262A3AD,
1181,0004F26488DA,
1182,0004F262A3A8,
1183,0004F26299B6,
1184,0004F26A653D,
1185,0004F24BD8FB,
1186,0004F262CD7D,
1187,0004F264F500,
1188,0004F263AEBA,
1189,0004F26363B8,
1190,0004F2649157,
1191,0004F264F4D7,
1192,0004F24BD3E1,
1193,0004F2628F01,
1194,0004F262C875,
1195,0004F25F7E83,
1196,0004F2636002,
1197,0004F2629A25,
1198,0004F23B9C9F,
1199,0004F262C6CC,
1200,0004F262A483,
1201,0004F262877F,
1202,0004F23BAB31,
1203,0004F2629BCB,
1204,0004F2340B9E,
1205,0004F2637735,
1206,0004F26296BB,
1207,0004F23BABA0,
1208,0004F262C6E6,
1209,0004F2648402,
1210,0004F2635EC6,
1211,0004F26297C2,
1212,0004F2628AFE,
1213,0004F264840B,
1214,0004F26483EF,
1215,0004F264F4B3,
1216,0004F2648663,
1217,0004F25F7E74,
1218,0004F25F7AB1,
1219,0004F25F80AC,
